,0,1,2,3,4,5,6,7,8,9
2480,Saving Private Ryan (1998),"Silence of the Lambs, The (1991)",Lawrence of Arabia (1962),"Great Escape, The (1963)",Star Wars: Episode IV - A New Hope (1977),Raiders of the Lost Ark (1981),It's a Wonderful Life (1946),Casablanca (1942),One Flew Over the Cuckoo's Nest (1975),"Bridge on the River Kwai, The (1957)"
2481,"Shawshank Redemption, The (1994)",Apollo 13 (1995),Patton (1970),Gladiator (2000),American Beauty (1999),Erin Brockovich (2000),Alien (1979),Amadeus (1984),"African Queen, The (1951)",Apocalypse Now (1979)
2482,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Rear Window (1954),Some Like It Hot (1959),"Seventh Seal, The (Sjunde inseglet, Det) (1957)","Bridge on the River Kwai, The (1957)",Anatomy of a Murder (1959),Fight Club (1999),"Face in the Crowd, A (1957)"
2483,"Shawshank Redemption, The (1994)",Schindler's List (1993),Saving Private Ryan (1998),"Sixth Sense, The (1999)",Star Wars: Episode IV - A New Hope (1977),Raiders of the Lost Ark (1981),"Great Escape, The (1963)","Godfather, The (1972)",Braveheart (1995),"Matrix, The (1999)"
2484,"Shawshank Redemption, The (1994)",Schindler's List (1993),Saving Private Ryan (1998),"Sixth Sense, The (1999)",American History X (1998),"Silence of the Lambs, The (1991)",Braveheart (1995),Cinema Paradiso (1988),"Matrix, The (1999)","Green Mile, The (1999)"
2485,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),Citizen Kane (1941),Casablanca (1942),"Seventh Seal, The (Sjunde inseglet, Det) (1957)","Close Shave, A (1995)","Wrong Trousers, The (1993)",Schindler's List (1993),Fargo (1996),American Beauty (1999),"Shawshank Redemption, The (1994)"
2486,"Shawshank Redemption, The (1994)",Schindler's List (1993),Star Wars: Episode IV - A New Hope (1977),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Lawrence of Arabia (1962),"Christmas Story, A (1983)","Bridge on the River Kwai, The (1957)",North by Northwest (1959),Indiana Jones and the Last Crusade (1989)
2487,Schindler's List (1993),Saving Private Ryan (1998),Remember the Titans (2000),"Right Stuff, The (1983)","Phantom of the Opera, The (1943)",Of Human Bondage (1934),Forrest Gump (1994),Rain Man (1988),Ordinary People (1980),Driving Miss Daisy (1989)
2488,"Shawshank Redemption, The (1994)",Schindler's List (1993),Saving Private Ryan (1998),"Sixth Sense, The (1999)","Silence of the Lambs, The (1991)",Braveheart (1995),Raiders of the Lost Ark (1981),"Matrix, The (1999)",Glory (1989),"Godfather, The (1972)"
2489,"Godfather, The (1972)",American Beauty (1999),Fargo (1996),Big Night (1996),High Fidelity (2000),Magnolia (1999),"Professional, The (a.k.a. Leon: The Professional) (1994)",Boogie Nights (1997),Platoon (1986),Nikita (La Femme Nikita) (1990)
2490,Star Wars: Episode IV - A New Hope (1977),"Sixth Sense, The (1999)",Raiders of the Lost Ark (1981),Braveheart (1995),"Princess Bride, The (1987)",Lawrence of Arabia (1962),Star Wars: Episode V - The Empire Strikes Back (1980),Dersu Uzala (1974),"Hunt for Red October, The (1990)",Indiana Jones and the Last Crusade (1989)
2491,"Shawshank Redemption, The (1994)",Schindler's List (1993),Raiders of the Lost Ark (1981),Star Wars: Episode IV - A New Hope (1977),"Princess Bride, The (1987)","Christmas Story, A (1983)",Forrest Gump (1994),Casablanca (1942),Die Hard (1988),Star Wars: Episode V - The Empire Strikes Back (1980)
2492,Rear Window (1954),"Silence of the Lambs, The (1991)","Third Man, The (1949)","Usual Suspects, The (1995)","Big Sleep, The (1946)",Blade Runner (1982),"Maltese Falcon, The (1941)",Star Wars: Episode IV - A New Hope (1977),Chinatown (1974),"Matrix, The (1999)"
2493,Schindler's List (1993),American Beauty (1999),Forrest Gump (1994),Life Is Beautiful (La Vita è bella) (1997),L.A. Confidential (1997),"Insider, The (1999)","Game, The (1997)","Bug's Life, A (1998)",As Good As It Gets (1997),"American President, The (1995)"
2494,Toy Story 2 (1999),"Princess Bride, The (1987)",Sleepless in Seattle (1993),"American President, The (1995)",Phenomenon (1996),Dave (1993),Return to Me (2000),While You Were Sleeping (1995),"Misérables, Les (1995)",Keeping the Faith (2000)
2495,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),"Godfather, The (1972)",Rear Window (1954),Casablanca (1942),Citizen Kane (1941),Double Indemnity (1944),Schindler's List (1993),Lawrence of Arabia (1962),"Third Man, The (1949)","Shawshank Redemption, The (1994)"
2496,"Affair to Remember, An (1957)","Conversation, The (1974)",All the King's Men (1949),Charade (1963),Apollo 13 (1995),Chariots of Fire (1981),Casablanca (1942),Cat Ballou (1965),"Deer Hunter, The (1978)",Butch Cassidy and the Sundance Kid (1969)
2497,Rear Window (1954),Double Indemnity (1944),Schindler's List (1993),"Third Man, The (1949)",Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),Chinatown (1974),"Maltese Falcon, The (1941)",Blade Runner (1982),"Silence of the Lambs, The (1991)",Touch of Evil (1958)
2498,"Sixth Sense, The (1999)","39 Steps, The (1935)","Run Silent, Run Deep (1958)",Arlington Road (1999),Erin Brockovich (2000),Ferris Bueller's Day Off (1986),Pork Chop Hill (1959),Elizabeth (1998),"Bone Collector, The (1999)",Mission: Impossible 2 (2000)
2499,Schindler's List (1993),Saving Private Ryan (1998),Braveheart (1995),"Matrix, The (1999)",Lawrence of Arabia (1962),"Fugitive, The (1993)","Bridge on the River Kwai, The (1957)",Patton (1970),"Hunt for Red October, The (1990)",North by Northwest (1959)
2500,Schindler's List (1993),"Shawshank Redemption, The (1994)",Rear Window (1954),Casablanca (1942),"Godfather, The (1972)","Silence of the Lambs, The (1991)","Christmas Story, A (1983)",One Flew Over the Cuckoo's Nest (1975),It's a Wonderful Life (1946),American Beauty (1999)
2501,Apollo 13 (1995),Arsenic and Old Lace (1944),Erin Brockovich (2000),American Beauty (1999),Dead Man Walking (1995),Stand by Me (1986),Mary Poppins (1964),Airplane! (1980),Meet Me in St. Louis (1944),"Breakfast Club, The (1985)"
2502,Raiders of the Lost Ark (1981),Glory (1989),"Princess Bride, The (1987)","Christmas Story, A (1983)",Die Hard (1988),Dead Poets Society (1989),One Flew Over the Cuckoo's Nest (1975),Toy Story 2 (1999),Blade Runner (1982),Star Wars: Episode V - The Empire Strikes Back (1980)
2503,Schindler's List (1993),Saving Private Ryan (1998),"Sixth Sense, The (1999)","Silence of the Lambs, The (1991)",Raiders of the Lost Ark (1981),Star Wars: Episode IV - A New Hope (1977),"Matrix, The (1999)",Rear Window (1954),"Godfather, The (1972)",Lawrence of Arabia (1962)
2504,Braveheart (1995),Apollo 13 (1995),Lawrence of Arabia (1962),Star Wars: Episode IV - A New Hope (1977),"Hunt for Red October, The (1990)","Killing Fields, The (1984)",Top Gun (1986),Forrest Gump (1994),Terminator 2: Judgment Day (1991),Star Wars: Episode VI - Return of the Jedi (1983)
2505,"Shawshank Redemption, The (1994)",Rear Window (1954),"Silence of the Lambs, The (1991)",American Beauty (1999),"Christmas Story, A (1983)",Raiders of the Lost Ark (1981),"Princess Bride, The (1987)",Chinatown (1974),Roman Holiday (1953),Amadeus (1984)
2506,Schindler's List (1993),Lawrence of Arabia (1962),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),"Streetcar Named Desire, A (1951)",Blade Runner (1982),City Lights (1931),Paths of Glory (1957),Casablanca (1942),Rear Window (1954),"Close Shave, A (1995)"
2507,"Shawshank Redemption, The (1994)","Sixth Sense, The (1999)","Wrong Trousers, The (1993)","Close Shave, A (1995)",Remember the Titans (2000),Saving Private Ryan (1998),Toy Story 2 (1999),Frequency (2000),Star Wars: Episode IV - A New Hope (1977),Wallace & Gromit: The Best of Aardman Animation (1996)
2508,Schindler's List (1993),Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),Saving Private Ryan (1998),Star Wars: Episode IV - A New Hope (1977),"Godfather, The (1972)",Raiders of the Lost Ark (1981),Braveheart (1995),Glory (1989),Star Wars: Episode V - The Empire Strikes Back (1980),Butch Cassidy and the Sundance Kid (1969)
2509,"Great Escape, The (1963)",Remember the Titans (2000),Star Wars: Episode IV - A New Hope (1977),Toy Story 2 (1999),Raiders of the Lost Ark (1981),"Wizard of Oz, The (1939)",Indiana Jones and the Last Crusade (1989),Blade Runner (1982),Star Wars: Episode V - The Empire Strikes Back (1980),"Day the Earth Stood Still, The (1951)"
2510,Fandango (1985),"Killing Fields, The (1984)",Raiders of the Lost Ark (1981),"Right Stuff, The (1983)",Blade Runner (1982),"Shining, The (1980)",Die Hard (1988),"Game, The (1997)",Star Wars: Episode V - The Empire Strikes Back (1980),Rain Man (1988)
2511,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),Schindler's List (1993),"Shawshank Redemption, The (1994)",Citizen Kane (1941),"Silence of the Lambs, The (1991)",Saving Private Ryan (1998),"Streetcar Named Desire, A (1951)",It's a Wonderful Life (1946),To Kill a Mockingbird (1962),Cool Hand Luke (1967)
2512,"Close Shave, A (1995)","Wrong Trousers, The (1993)",Cinema Paradiso (1988),Little Big Man (1970),Young Frankenstein (1974),M*A*S*H (1970),To Catch a Thief (1955),"Producers, The (1968)",American Beauty (1999),Sleeper (1973)
2513,Rear Window (1954),Double Indemnity (1944),Schindler's List (1993),"Third Man, The (1949)","Thin Man, The (1934)",Anatomy of a Murder (1959),Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),Chinatown (1974),"Maltese Falcon, The (1941)","Big Sleep, The (1946)"
2514,"Matrix, The (1999)",Star Wars: Episode IV - A New Hope (1977),Blade Runner (1982),Contact (1997),One Flew Over the Cuckoo's Nest (1975),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),E.T. the Extra-Terrestrial (1982),Star Wars: Episode V - The Empire Strikes Back (1980),Erin Brockovich (2000),Alien (1979)
2515,"Silence of the Lambs, The (1991)",Casablanca (1942),American Beauty (1999),Toy Story (1995),Shakespeare in Love (1998),"Bug's Life, A (1998)","American President, The (1995)",Dave (1993),"League of Their Own, A (1992)",There's Something About Mary (1998)
2516,"Shawshank Redemption, The (1994)",Apollo 13 (1995),Braveheart (1995),Star Wars: Episode IV - A New Hope (1977),Forrest Gump (1994),Star Wars: Episode V - The Empire Strikes Back (1980),Amistad (1997),As Good As It Gets (1997),"Map of the World, A (1999)",Erin Brockovich (2000)
2517,Raiders of the Lost Ark (1981),Braveheart (1995),One Flew Over the Cuckoo's Nest (1975),"Big Sleep, The (1946)",Indiana Jones and the Last Crusade (1989),"Wizard of Oz, The (1939)",Dances with Wolves (1990),"Godfather: Part II, The (1974)",Top Gun (1986),Groundhog Day (1993)
2518,"Matrix, The (1999)","Wizard of Oz, The (1939)",Star Wars: Episode IV - A New Hope (1977),West Side Story (1961),Forrest Gump (1994),Mary Poppins (1964),Singin' in the Rain (1952),Lady and the Tramp (1955),E.T. the Extra-Terrestrial (1982),Beauty and the Beast (1991)
2519,"Conformist, The (Il Conformista) (1970)","Garden of Finzi-Contini, The (Giardino dei Finzi-Contini, Il) (1970)",Blade Runner (1982),"Great Escape, The (1963)","Godfather, The (1972)","Maltese Falcon, The (1941)",Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),Chinatown (1974),L.A. Confidential (1997),"African Queen, The (1951)"
2520,"Sixth Sense, The (1999)",Schindler's List (1993),Saving Private Ryan (1998),"Silence of the Lambs, The (1991)","Matrix, The (1999)",Braveheart (1995),"Fugitive, The (1993)",Star Wars: Episode IV - A New Hope (1977),Raiders of the Lost Ark (1981),"Wizard of Oz, The (1939)"
2521,Braveheart (1995),"Matrix, The (1999)","Fugitive, The (1993)",Raiders of the Lost Ark (1981),Star Wars: Episode IV - A New Hope (1977),"Hunt for Red October, The (1990)",Butch Cassidy and the Sundance Kid (1969),Die Hard (1988),Indiana Jones and the Last Crusade (1989),Star Wars: Episode V - The Empire Strikes Back (1980)
2522,"Shawshank Redemption, The (1994)",Blade Runner (1982),"Wizard of Oz, The (1939)","Sixth Sense, The (1999)","Godfather, The (1972)",Rosencrantz and Guildenstern Are Dead (1990),Cool Hand Luke (1967),"Princess Bride, The (1987)","Usual Suspects, The (1995)",Amadeus (1984)
2523,"Silence of the Lambs, The (1991)",Raiders of the Lost Ark (1981),Rear Window (1954),"Sting, The (1973)",Forrest Gump (1994),Cool Hand Luke (1967),"Hunt for Red October, The (1990)",Monty Python and the Holy Grail (1974),Ferris Bueller's Day Off (1986),To Catch a Thief (1955)
2524,Star Wars: Episode IV - A New Hope (1977),Little Big Man (1970),"Sting, The (1973)",Butch Cassidy and the Sundance Kid (1969),"Big One, The (1997)",M*A*S*H (1970),American Graffiti (1973),Star Wars: Episode V - The Empire Strikes Back (1980),Erin Brockovich (2000),Monty Python and the Holy Grail (1974)
2525,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),"Godfather, The (1972)",Rear Window (1954),Lawrence of Arabia (1962),Double Indemnity (1944),"Bicycle Thief, The (Ladri di biciclette) (1948)",Schindler's List (1993),"Third Man, The (1949)",Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),"Shawshank Redemption, The (1994)"
2526,Saving Private Ryan (1998),Star Wars: Episode IV - A New Hope (1977),Braveheart (1995),"Godfather, The (1972)","Matrix, The (1999)",Butch Cassidy and the Sundance Kid (1969),"Dirty Dozen, The (1967)",Star Wars: Episode V - The Empire Strikes Back (1980),Alien (1979),"African Queen, The (1951)"
2527,Fargo (1996),Being John Malkovich (1999),"Usual Suspects, The (1995)",L.A. Confidential (1997),GoodFellas (1990),Pulp Fiction (1994),Blood Simple (1984),"Professional, The (a.k.a. Leon: The Professional) (1994)",Seven (Se7en) (1995),Out of Sight (1998)
2528,"Shawshank Redemption, The (1994)",Schindler's List (1993),Saving Private Ryan (1998),"Sixth Sense, The (1999)","Silence of the Lambs, The (1991)",Braveheart (1995),"Great Escape, The (1963)",Cinema Paradiso (1988),Raiders of the Lost Ark (1981),"Matrix, The (1999)"
2529,American Beauty (1999),Being John Malkovich (1999),Fight Club (1999),Taxi Driver (1976),Pulp Fiction (1994),GoodFellas (1990),Reservoir Dogs (1992),"Blair Witch Project, The (1999)","Abyss, The (1989)",American Pie (1999)
2530,Roman Holiday (1953),Casablanca (1942),"Princess Bride, The (1987)",To Catch a Thief (1955),My Fair Lady (1964),Singin' in the Rain (1952),Much Ado About Nothing (1993),"Place in the Sun, A (1951)",Top Hat (1935),Notorious (1946)
2531,"Shawshank Redemption, The (1994)","Silence of the Lambs, The (1991)",One Flew Over the Cuckoo's Nest (1975),"Bridge on the River Kwai, The (1957)","Killing Fields, The (1984)",Amadeus (1984),Good Will Hunting (1997),"Man for All Seasons, A (1966)",Rain Man (1988),Dances with Wolves (1990)
2532,It's a Wonderful Life (1946),Saving Private Ryan (1998),Sleepless in Seattle (1993),"Christmas Story, A (1983)","Silence of the Lambs, The (1991)",Toy Story 2 (1999),"Right Stuff, The (1983)",Sabrina (1995),As Good As It Gets (1997),Phenomenon (1996)
2533,"Close Shave, A (1995)",City Lights (1931),One Flew Over the Cuckoo's Nest (1975),American Beauty (1999),Cool Hand Luke (1967),"Sting, The (1973)","Palm Beach Story, The (1942)",Some Like It Hot (1959),It Happened One Night (1934),Waiting for Guffman (1996)
2534,"Streetcar Named Desire, A (1951)",Schindler's List (1993),One Flew Over the Cuckoo's Nest (1975),Fargo (1996),"Shawshank Redemption, The (1994)",American Beauty (1999),Being John Malkovich (1999),Fight Club (1999),Young Frankenstein (1974),Cinema Paradiso (1988)
2535,"Silence of the Lambs, The (1991)",Forrest Gump (1994),Die Hard (1988),One Flew Over the Cuckoo's Nest (1975),Frequency (2000),American Beauty (1999),Erin Brockovich (2000),Shakespeare in Love (1998),Sleepless in Seattle (1993),"Hurricane, The (1999)"
2536,"Shawshank Redemption, The (1994)",Schindler's List (1993),"Godfather, The (1972)",Rear Window (1954),Lawrence of Arabia (1962),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Saving Private Ryan (1998),"Silence of the Lambs, The (1991)",Casablanca (1942),Double Indemnity (1944)
2537,"Great Escape, The (1963)",Raiders of the Lost Ark (1981),Star Wars: Episode IV - A New Hope (1977),Lawrence of Arabia (1962),"Hunt for Red October, The (1990)",Dances with Wolves (1990),Rain Man (1988),"African Queen, The (1951)","Rock, The (1996)",For Whom the Bell Tolls (1943)
2538,Saving Private Ryan (1998),"Matrix, The (1999)","Fugitive, The (1993)",Star Wars: Episode IV - A New Hope (1977),Raiders of the Lost Ark (1981),Butch Cassidy and the Sundance Kid (1969),"Hunt for Red October, The (1990)",Indiana Jones and the Last Crusade (1989),Die Hard (1988),"Untouchables, The (1987)"
2539,"Shawshank Redemption, The (1994)",Schindler's List (1993),"Sixth Sense, The (1999)",Saving Private Ryan (1998),"Silence of the Lambs, The (1991)",Braveheart (1995),Apollo 13 (1995),Henry V (1989),"Hunt for Red October, The (1990)","Usual Suspects, The (1995)"
2540,"Christmas Story, A (1983)",Forrest Gump (1994),Toy Story (1995),Sleepless in Seattle (1993),Ferris Bueller's Day Off (1986),Mr. Holland's Opus (1995),Lethal Weapon (1987),"Bug's Life, A (1998)",Stripes (1981),"American President, The (1995)"
2541,Braveheart (1995),One Flew Over the Cuckoo's Nest (1975),Star Wars: Episode VI - Return of the Jedi (1983),Arsenic and Old Lace (1944),Terminator 2: Judgment Day (1991),From Russia with Love (1963),"Cider House Rules, The (1999)",Airplane! (1980),Jurassic Park (1993),Our Town (1940)
